Question ,Answer
What can I do if my UAN is not seeded with Aadhaar,"Member can himself seed UAN with Aadhaar by visiting member portal. Thereafter the employer must approve the same to complete the linkage. Alternatively, member can ask his employer to link Aadhaar with UAN. The member can use “e-KYC Portal” under Online Service available on home page of EPFO website or e-KYC service under EPFO in UMANG APP to link his/her UAN with Aadhaar without employer’s intervention."
How to correct wrong aadhar with UAN,Member has to apply for correction to Regional office of EPFO where his EPF account is maintained through submission of joint request.
How can I seed my KYC details with UAN,"o Login to your EPF account at the unified member portal o Click on the “KYC” option in the “Manage” section o You can select the details (PAN, Bank Account, Aadhar etc) which you want to link with UAN o Fill in the requisite fields o Now click on the “Save” option o Your request will be displayed in “KYC Pending for Approval” o Once employer approves the details the message will be changed to “Digitally approved by the employer” o Once UIDAI confirms your details, “Verified by UIDAI” is displayed against your Aadhaar."
How can I seed my Bank account details,o Login to your EPF account at the unified member portal o Enter your bank account number and IFSC code. o The details have to be approved by your employer. o Once approved the bank account gets seeded.
Can I change my already seeded Bank account number,"Yes. The bank account number can be updated any number of times by following the steps mentioned above. However, the bank account details cannot be changed during pendency of any claim with EPFO."
What precautions should I take while seeding Bank account number,You should seed active bank account to which you are either an individual or joint holder with your spouse. Also ensure that the bank account does not have a deposit cap greater than your withdrawal benefit.
I have changed my job. Should I activate my UAN again,UAN has to be activated only once. You do not have to re-activate it every time you switch jobs.
Do I have to pay any fee for UAN registration,"No, UAN registration is free of cost and you do not have to pay any fee to activate it."
Can I activate UAN through SMS or mobile app,"You cannot activate UAN through SMS. However, you can activate UAN through Umang App. To download Umang app, please visit Google Play store."
What are the documents required for change in Date of Birth of EPF members,"Any of the following documents may be accepted as valid proof of date of birth: o Birth certificate issued by the Registrar of Births and Deaths o Any School / education related certificate o Certificate based on the service records of the Central / State Government Organization. o Passport o Any other reliable document issued by a Government department. o In the absence of proof of date of birth as above, Medical certificate issued by Civil Surgeon after examining the member medically and supported with an affidavit on oath by the member duly authenticated by a competent court. o Aadhaar / e-Aadhaar: The change in date of birth shall be accepted as per Aadhaar /eAadhaar upto a maximum range of plus or minus three years of the date of birth recorded earlier with EPFO."
Do I need to upload documents on the EPFO Portal,"No, you are not required to upload documents on the EPFO Portal. Just the name as per the document and the document number must be specified."
What are the minimum details which are required to be linked with UAN for availing online services,"Mobile, Aadhar and Bank account number."
Is linking PAN with UAN beneficial for availing online services,"Yes, if you link your PAN number with UAN then you can avail tax benefits on EPF withdrawal"
My name is same in PAN card and Aadhaar card but I am not able to link it with my UAN,The name as per Aadhaar and PAN must be same as that in PF records for KYC to be successfully completed. Please note that the name as printed on PAN card may be different from that in the Income Tax database. In such a case you must enter the name as per IT database to get it successfully linked with UAN. If there is a name mismatch then a name change request can be raised.
What to do if my employer is not approving KYC,"In case your employer is not approving KYC details, you can directly approach administration or HR department with request. If it is taking more time you can escalate it to higher authority in the organization. If no one is responding to your request you can approach EPF Grievance via http://epfigms.gov.in."
How do I know that KYC updated by me is approved by the employer,The status will be shown against updated KYC document on the same page. The system will also trigger SMS on your register mobile number.
My employer erroneously entered wrong PAN and Bank account details,You can login to your member portal and update the PAN and Bank account details yourself. The same will be digitally approved/updated by the employer
My employer has not updated my date of exit despite lapse of two months after leaving job. How can I update my date of exit,"o Visit Member Unified Portal o Enter UAN, Password and CAPTCHA. o Go to Manage and Click Mark Exit o Choose ‘PF Account Number’ from ‘select employment’ drop down o Enter ‘Date of Exit’ and ‘Reason of Exit’ o Click on option ‘Request OTP’ and enter OTP sent on your Aadhaar linked Mobile Number o Select the Checkbox o Click ‘Update’ o Click ‘OK’"
How to change my UAN linked mobile number,"After login into the Member Interface of Unified Portal, there is a provision in “Member Profile” section to change your mobile number."
Can I apply online claim if my mobile is not linked with Aadhaar,"No, you cannot submit online claim if your mobile is not linked with Aadhaar. At the time of claim submission, OTP is sent to Aadhaar linked mobile only."
What to do if my Aadhaar is not linked with mobile,Please visit your nearest Aadhaar Service Centre. For more details you can visit official website of UIDAI https://uidai.gov.in.
What to do if I forgot my password,Please click on “Forgot Password” at Member Interface of Unified Portal. Provide your UAN with CAPTCHA. System will send the OTP on your mobile which is seeded with UAN and you can reset the password.
What to do if I forgot my password and my registered mobile with UAN has also changed,"Please click on “Forgot Password” at Member Interface of Unified Portal. Provide your UAN with CAPTCHA. System will ask whether OTP is to be sent on registered mobile or some other mobile. System will ask to enter your basic details (Name, DOB and Gender). After successful matching of basic details system will ask to provide your Aadhar or PAN. If KYC details are matched system will ask new mobile number and OTP will be sent to the new mobile. After successful verification of OTP, you can reset your password."
What is to be done in case I change the job and join somewhere else,You need to simply declare your UAN with your subsequent employer.
Which claims that can be filed online,"You can file Withdrawal, Advance, and Pension claim (after e-Nomination) online through EPFO Member Portal or through Umang app."
How can I view/download my passbook,"First of all, you need to login to the UAN Member Portal with your UAN and password. Then go to the menu ‘Download’ and select ‘Download Passbook’. A link provided to download PDF of this passbook."
How can I view or download my UAN card,You need to login first with your valid UAN and password. Then go to ‘Download’ Menu and select an option ‘Download UAN Card’. PDF of UAN card can be downloaded.
I am not able to see the Passbook or Passbook is not available,In case you are working in an Exempted establishment then your passbook will not be available in the UAN portal. You may contact your establishment to get the PF statement.
Two UAN allotted to me what should I do,"In case two UAN are allotted to you, this could be because of not filling of Date of Exit by your previous employer in ECR filing and / or you have applied for transfer of service in your current establishment. In such a case, it is suggested to immediately report the matter to your employer and through email to EPFO (uanepf@epfindia.gov.in) by mentioning, both -your current UAN and your previous UAN(s). After due verification, the previous UAN(s) allotted to you will be blocked and the current UAN will be kept active."
Why I am not able to link or list previous member IDs pertaining to me,As the details are matched with previous Member ID w.r.t. current Member ID and if there is any deviation in name etc. it will not allow for link / list Member ID.
How to change Name and DOB in EPFO records as per Aadhaar Card,"o Enter UAN, Password and CAPTCHA. o Click Sign-in o Click Manage and then Click Modify Basic Details o Enter Aadhaar, Name and DOB as per Aadhaar. Click Save/Submit. Click “Yes”. o Inform your Employer to approve your Name Change Request"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
